listing_id,price_sold,suburb,property_type,bedrooms,bathrooms,parking,land_size_m2,building_size_m2,is_strata,latitude,longitude,dist_cbd_km,dist_transport_km,sold_by_auction,sale_year,description
151025832,1225000,Bondi,Apartment,2,1,0,,,1,-33.893017,151.26003,5.402,1.34,1,2026,"Blending timeless Art Deco character with lifestyle appeal, this boutique apartment presents an outstanding entry opportunity into the highly sought-after Bondi market. One of only four residences in an Art Deco block, it offers a rare sense of privacy and scale, enhanced by a semi-like layout and generous natural light throughout. The home comprises two well-proportioned bedrooms plus a sunroom, ideally suited as a study or nursery, delivering flexible living options to suit a range of lifestyles. Neat and well maintained, it provides immediate comfort with significant scope to renovate and further enhance, taking full advantage of its original period features and spacious proportions. Positioned within a quiet one-way street on the northern side of the block, the property enjoys a highly convenient setting between Bondi Beach and Bondi Junction's retail precinct, with South Bondi village cafés and eateries just a short stroll away. • Boutique block of only four residences • Semi-like layout offering enhanced space and separation • Two double bedrooms plus sunroom/study or nursery • Classic Art Deco features, ornate ceilings, timber floors and sash windows • Spacious living and dining area with bright open-plan kitchen • Access to sunny common garden and shared laundry facilities • Solid full-brick construction with one common wall • Low strata levies and strong rental demand • Walk to Waverley Park, cafés and approx. 800m to Westfield Bondi"
150625444,2200000,Bondi,Apartment,3,2,2,,,1,-33.892746,151.26157,5.511,1.195,1,2026,"Set on the sixth floor of a well-maintained security building, this semi-sized three-bedroom apartment delivers a private and uplifting retreat. With sweeping district views stretching to the ocean and a double car garage, a rare find for Bondi. Open to the north bathed in natural light, it reveals a clever design with beautifully appointed interiors dressed in fresh neutral tones enhanced by high ceilings and polished timber floors adding warmth and comfort. A gourmet stone kitchen equipped with Smeg gas appliances adjoins the generous dining area, while an expansive living zone is framed by floor-to-ceiling glass doors allowing a seamless transition to a fabulous north facing entertainers' terrace. Promising lifestyle excellence, it is placed footsteps to the village buzz of Bondi Road, with shops, popular cafés and buses, while enjoying an easy stroll to the iconic Bondi Beach and Westfield's vibrant retail/entertainment hub. Property Features: - Prized 6th floor setting with superb district to ocean views - Impressive flowing layout with designated living and dining - Seamless transition to huge n/facing entertainers' terrace - Gourmet stone kitchen equipped with Smeg gas appliances - Abundant storage, dishwasher, servery window to dining area - Well-sized carpeted bedrooms appointed with built-in robes - Stylish bathrooms, one w/ bath and shower, separate int. laundry - Master bedroom with ensuite and split-cycle air conditioning - High ceilings, polished timber floors, abundant natural light - Extensive storage, gas outlets, air conditioning throughout - Well-maintained security building with AV intercom access - Lift access to secure basement parking with two car spaces - Steps to Bondi Road's village shops, popular cafés, buses - Stroll to hip bars, eateries, gyms, yoga & Pilates studios - Walk to the iconic Bondi Beach and Westfield's retail hub"
150687696,1630000,Bondi,Apartment,2,1,1,,75.3,1,-33.896984,151.26071,5.687,1.43,1,2026,"Offered for the first time in over 50 years, this top-floor apartment presents a rare opportunity to secure a home in one of the area’s most tightly held and sought-after locations. Positioned at the rear of a boutique security building of just nine units, this north-east facing apartment enjoys ocean views and an abundance of natural light, creating a bright, airy coastal retreat. Move straight in or renovate to enhance and capitalise on this blue chip location. Ideally located just footsteps from the coastal walk, and within easy reach of Bondi, Bronte, and Tamarama beaches, as well as a vibrant selection of village cafés and shops, this is a lifestyle opportunity not to be missed. Property features: - Two generous bedrooms, both with built-in wardrobes - Updated kitchen with electric appliances - Spacious living area opening up to a full-width balcony with ocean views - Bright bathroom with separate bathtub and shower - Lock-up garage accessed via rear lane - Well-maintained, secure boutique block of only nine units Unit Size Internally: 75.3 sqm + Lockup Garage 18.5 sqm DISCLAIMER All information contained herein is gathered from sources we believe reliable. We have no reason to doubt its accuracy, however we cannot guarantee or give any warranty to the information provided. All interested parties should make and rely upon their own enquiries. **Living area and bedroom photos are all virtually styled."
150629132,1670000,Bondi,Apartment,2,1,1,,,1,-33.89389,151.26947,6.216,0.563,1,2026,"North facing corner apartment featuring floor to ceiling windows and iconic views, set within a boutique eighteen unit building conveniently located in short walking distance to Bondi Beach offering vibrant village amenities and a celebrated beachside lifestyle * Lock up garage, wrap around balcony, storage * Low maintenance walk up, eighteen (18) units * North facing corner lot, minimal common walls * Views over Bondi Beach and Sydney Harbour * Parquetry flooring w/floor to ceiling windows * Gas kitchen w/ dishwasher & internal laundry * Built in robe & balcony access to master bed * Updated bathroom, separate shower and bath * Short stroll to Bondi Beach and coastal walks * Moments to local retail and dining precincts"
150712080,1400000,Bondi,Apartment,2,1,0,,,1,-33.89151,151.26479,5.711,0.881,1,2026,"Northerly sunshine, boutique charm and ocean views over the beach to Ben Bucker capture the uplifting energy of Bondi in this renovated Art Deco classic on the edge of South Bondi village. Holding a prized North-East corner position in a 1930s block, the top-floor apartment is bathed in sunlight and sea breezes with every room enjoying a quintessential Bondi outlook. Art Deco character meets a relaxed beachside sensibility with polished timber floors, high ceilings and a bright, airy feel throughout. The two-bedroom layout is both functional and inviting, with only one common wall enhancing privacy. Step outside and immerse yourself in the buzz of Bondi, 300m to Bondi Road's social scene, or wander down Francis Street to the sand, surf and iconic Icebergs Pool. A perfect low-maintenance beach pad or a smart investment, this is a Bondi classic in a walk-everywhere neighbourhood known for its strong community feel. - Peaceful North-East rear corner on the top floor - 1930s security block just down from SoBo village - Sunlit interiors wrapped in ocean and beach views - 2 bright and airy bedrooms, the main with built-ins - Miele-appointed gas kitchen with stone benchtops - Light and airy living, original polished timber floors - Dedicated dining with views out to Bondi Beach - Tastefully renovated bathroom, European laundry - Low-maintenance living, secure block of only 14 - Stroll up to Bondi Public School and Montessori East - Walk down to the beach, just over 1km to Westfield Approximate Quarterly Outgoings: Water Rates: $208 | Council Rates: $358.50 | Strata Rates: $2,249"
150709348,2110000,Bondi,Apartment,3,2,1,,156,1,-33.890984,151.26195,5.451,1.14,1,2026,"Step into effortless coastal elegance with this oversized security apartment, thoughtfully renovated to deliver light-filled living, privacy, and refined style. With minimal common walls and a generous, well-designed layout, the home offers a rare sense of space and tranquillity. The expansive living and dining area flows seamlessly to a sunlit, covered balcony, capturing filtered ocean views alongside an elevated city skyline backdrop. The designer kitchen is both stylish and functional, featuring a butler's pantry and servery, while excellent storage and a considered open-plan design enhance everyday living and entertaining. Accommodation comprises three well-proportioned bedrooms, each with built-in robes. The master suite enjoys its own ensuite and air conditioning, while two additional bathrooms and an internal laundry add further convenience. Set within a well-maintained, resort-style complex, residents enjoy access to an outdoor swimming pool and shared gardens, creating a relaxed coastal lifestyle just moments from the area's vibrant offerings. Ideally positioned, the apartment is a short stroll to Bondi Road's cafés, bars, and eateries, with Bondi Beach and Bondi Junction only minutes away. • Oversized 133sqm layout with expansive living and dining • Sunlit covered balcony with filtered ocean and city skyline views • Designer kitchen with butler's pantry and servery • Excellent storage and seamless open-plan flow • Three generous bedrooms, all with built-in robes • Master bedroom with ensuite and air conditioning • Two-and-a-half bathrooms plus internal laundry • Level lift access to lock-up garage (22.9sqm) • Outdoor swimming pool and shared gardens • Walk to Bondi Road cafés, bars, and eateries • Minutes to Bondi Beach and Bondi Junction"
150573312,1340000,Bondi,Apartment,2,1,1,,102,1,-33.895325,151.27039,6.364,0.619,1,2026,"Securely positioned in the prized north-eastern pocket of a well-maintained secure building at the sought-after coastal end of Bondi Road, this original north-east facing apartment offers solid foundations and outstanding potential for those with the vision to transform it into a stunning beachside retreat. Bathed in natural light and featuring a generous layout with a wraparound balcony and ocean glimpses, the home presents a rare and exciting opportunity with extensive scope to renovate, redesign or completely reimagine. Ideally located just moments from vibrant cafés, restaurants, bars, transport to the CBD and the world-famous Bondi Beach, this is an exceptional opportunity for homeowners, renovators and investors alike. • Rare and exciting opportunity with extensive scope to renovate, redesign or reimagine • Original interiors with combined living and dining areas and high ceilings • Sliding glass doors opening to a full-width covered balcony with ocean glimpses • Oversized eat-in kitchen with electric cooktop, ample storage and scope to redesign • Two well-proportioned bedrooms, main with direct balcony access and built-in wardrobe • Spacious bathroom with separate shower and full-sized bathtub, offering potential to renovate • Lock-up garage, set within a well maintained secure building in coastal end of Bondi Road • Located moments from the iconic Bondi Beach, vibrant eateries and Bondi Road shops"
150068988,1885000,Bondi,Apartment,3,2,1,,,1,-33.889732,151.25964,5.197,1.358,1,2026,"Spanning over 108 sqm with dual access is this sensational apartment, excelling with beautiful interior design, a versatile floorplan and a prized coastal lifestyle. It commands a ground-floor position that welcomes north-east sunshine and is accessed by a few stairs at either end, in a configuration which will surely draw the interest of young families and down-sizers, alongside the professionals and investors keeping a close eye on the Bondi property market this Summer. The stunning gourmet kitchen is a spectacle of class and quality, with an impressive size that is amplified by floor-to-ceiling cupboard storage. The master suite with dressing area is a luxury usually found in a large family home, while the versatile rear sunroom can be enclosed to use as a third bedroom, study or recreational retreat. Hand-picked European finishes enhance the feel of every room, making this a turn-key opportunity of exquisite taste. Set between Bondi Beach and Bondi Junction's world-class shopping and transport hub, 'Ewloe Hall' is an Art Deco building of only six residences, offering Waverley Park and Bondi Road shops at the end of the street. Property Features: - Semi-style with no bedrooms set along the common wall - Ceilings climb to 3.1m high, windows set on three sides - Belgian-engineered French Oak flooring in a wide panel - Kitchen features Carrara splashback, gas cooktop, 90 cm oven - Stone-crafted breakfast bar is a social hub when entertaining - Master suite with lavish dressing area, easy study conversion - Matching designer bathrooms, premium taps, backlit mirrors - Bed 3 / sunroom gets morning sun, ideal for coffee or yoga - Air con units in the kitchen / living area & the master suite - Upgraded in past 5 years with various items under warranty - Garage steps from your door, unload groceries with ease - Recent building upgrades of high quality have been paid - Buses to Bondi Junction & CBD, 13 mins walk from trains - Choose from village cafes along Bellevue Rd & Bondi Rd - Falls within the prized Bellevue Hill Public School catchment"
150685200,1200000,Bondi,Apartment,2,1,0,,104,1,-33.888462,151.26137,5.281,1.221,1,2026,"Auction Location: On site Positioned on the first floor of a boutique block of just ten, this spacious apartment has been thoughtfully reimagined to deliver a refined blend of Art Deco character and contemporary style. Showcasing creative finishes and warmth throughout its generous 104sqm layout, interiors are bathed in natural light, creating an uplifting and inviting haven moments from an array of lifestyle drawcards. In a key position, it offers easy access to both Bondi Beach and Bondi Junction. Highlights * Boutique block of only ten residences * Generous scale with 104sqm internals * Bright aspect offering great natural light * Soaring ceilings, concrete flooring * Bright living with gas heating connection * Defined dining, smart custom cabinetry * Marble kitchen with Smeg gas appliances * King-sized master, loads of built-in storage * Mediterranean-inspired bathroom with tub * Internal laundry, residents' rooftop garden * Walk to beaches, cafés, transport & more * On the doorstep of schools & parklands * Free Strata Report available at bw.com.au"
150544944,1233000,Bondi,Apartment,2,1,0,,,1,-33.89208,151.26541,5.791,0.833,1,2026,"A stunning custom renovation has transformed this ground floor Art Deco apartment into a refined coastal haven of undeniable style and quality in a boutique block of ten. Beautifully proportioned and dressed in chic neutral tones, it reveals an inviting free-flowing layout enhanced by engineered timber floors and soaring ceilings evoking a wonderful sense of space. A sleek marble kitchen is equipped with quality Smeg gas appliances, while striking open plan living and dining zones offer plenty of space to relax and entertain. Both bedrooms are appointed with floor-to-ceiling built-in wardrobes, the master is oversized, plus there is a stylish mosaic-tiled bathroom with a combined bath/shower complemented by brass tapware. It is positioned a stroll to the iconic Bondi Beach as well as Bondi Road's hip village cafés, boutiques, bars and eateries and buses to Bondi Junction and the CBD. Property Features: - Beautifully renovated and appointed for contemporary comfort - Stunning open living and dining with private leafy outlooks - Sleek marble kitchen w/ Smeg gas appliances and dishwasher - Generous bedrooms appointed with floor-to-ceiling BIR's - Chic mosaic-tiled bathroom with combined bath/shower - Concealed internal laundry, plentiful storage, track lighting - Wide engineered timber floors, high ceilings, picture rails - Readymade investment/first home in sought-after pocket - Lovely communal garden with access via Rockley Street - Stroll to Bondi Road's shops, hip village bars and eateries - Walk to the iconic Bondi Beach, Icebergs, beachside dining - Moments to Hall Street village, Harris Farm, city buses"
